id,user_id,recipe_diet_id,comment_id,stock_levels_id,box_type,title,slug,short_title,marketing_description,equipment_needed,origin_country,recipe_cuisine,in_your_box,gousto_reference,created_at,updated_at
1,1,1,0,,vegetarian,Sweet Chilli and Lime Beef on a Crunchy Fresh Noodle Salad,sweet-chilli-and-lime-beef-on-a-crunchy-fresh-noodle-salad,,"Here we've used onglet steak which is an extra flavoursome cut of beef that should never be cooked past medium rare. So if you're a fan of well done steak, this one may not be for you. However, if you love rare steak and fancy trying a new cut, please be",Appetite,Great Britain,asian,,59,<null>,<null>
2,1,2,1,,gourmet,Tamil Nadu Prawn Masala,tamil-nadu-prawn-masala,,"Tamil Nadu is a state on the eastern coast of the southern tip of India. Curry from there is particularly famous and it's easy to see why. This one is brimming with exciting contrasting tastes from ingredients like chilli powder, coriander and fennel seed",Appetite,Great Britain,italian,"king prawns, basmati rice, onion, tomatoes, garlic, ginger, ground tumeric, red chilli powder, ground cumin, fresh coriander, curry leaves, fennel seeds",58,<null>,<null>
3,1,3,0,,vegetarian,Umbrian Wild Boar Salami Ragu with Linguine,umbrian-wild-boar-salami-ragu-with-linguine,,"This delicious pasta dish comes from the Italian region of Umbria. It has a smoky and intense wild boar flavour which combines the earthy garlic, leek and onion flavours, while the chilli flakes add a nice deep aroma. Enjoy within 5-6 days of delivery.",Appetite,Great Britain,british,,1,<null>,<null>
4,1,4,0,,gourmet,Tenderstem and Portobello Mushrooms with Corn Polenta,tenderstem-and-portobello-mushrooms-with-corn-polenta,,"One for those who like their veggies with a slightly spicy kick. However, those short on time, be warned ' this is a time-consuming dish, but if you're willing to spend a few extra minutes in the kitchen, the fresh corn mash is extraordinary and worth a t",None,Great Britain,british,,56,<null>,<null>
5,1,5,2,,vegetarian,Fennel Crusted Pork with Italian Butter Beans,fennel-crusted-pork-with-italian-butter-beans,,"A classic roast with a twist. The pork loin is marinated in rosemary, fennel seeds and chilli flakes then teamed with baked potato wedges and butter beans in tomato sauce. Enjoy within 5-6 days of delivery.",Pestle & Mortar (optional),Great Britain,british,"pork tenderloin, potatoes, butter beans, garlic, fennel seeds, medium onion, chilli flakes, fresh rosemary, tomatoes, vegetable stock cube",55,<null>,<null>
6,1,6,0,,gourmet,Pork Chilli,pork-chilli,,"Succulent pork tenderloin and feathery white bean and parsnip mash mingle with feisty cumin seeds and tangy leek in this lighter, less conventional take on a British classic. Welcome to the outer limits of food!",Appetite,Great Britain,asian,,60,<null>,<null>
7,1,7,0,,vegetarian,Courgette Pasta Rags,courgette-pasta-rags,,"Kick-start the new year with some get-up and go with this lean green vitality machine. Protein-packed chicken and mineral-rich kale are blended into a smooth, nut-free version of pesto; creating the ultimate composition of nutrition and taste",Appetite,Great Britain,british,,59,<null>,<null>
8,1,8,0,,vegetarian,Homemade Eggs & Beans,homemade-egg-beans,,"A Goustofied British institution, learn how to make beautifully golden breaded chicken escalopes drizzled in homemade garlic butter and served atop fluffy potato and broccoli mash.",Appetite,Great Britain,italian,,2,<null>,<null>
9,1,9,0,,gourmet,Grilled Jerusalem Fish,grilled-jerusalem-fish,,"I love this super healthy fish dish, it contains a punch from zingy ginger, a kick from chili and a salty sweet balance from soy sauce and mirim. A cleansing and restorative meal, great for body and soul.",Appetite,Great Britain,mediterranean,,57,<null>,<null>
10,1,10,0,,gourment,Pork Katsu Curry,pork-katsu-curry,,"Comprising all the best bits of the classic American number and none of the mayo, this is a warm & tasty chicken and bulgur salad with just a hint of Scandi influence. A beautifully summery medley of flavours and textures",Appetite,Great Britain,mexican,,56,<null>,<null>
